fdc_id,wweia_food_category,wweia_food_category_description,full food code description,food_code,keyword,Schema Code,Grandparent
2341050,5802,Ice cream and frozen dairy desserts,"Ice cream cone, NFS",13120740,Ice cream cone,13 Milk desserts and sauces,Dairy
2341051,5802,Ice cream and frozen dairy desserts,"Ice cream cone, scooped, chocolate",13120770,Ice cream cone,13 Milk desserts and sauces,Dairy
2341052,5802,Ice cream and frozen dairy desserts,"Ice cream cone, scooped, chocolate, waffle cone",13120775,Ice cream cone,13 Milk desserts and sauces,Dairy
2341053,5802,Ice cream and frozen dairy desserts,"Ice cream cone, soft serve, vanilla",13120782,Ice cream cone,13 Milk desserts and sauces,Dairy
2341054,5802,Ice cream and frozen dairy desserts,"Ice cream cone, soft serve, chocolate",13120784,Ice cream cone,13 Milk desserts and sauces,Dairy
2341055,5802,Ice cream and frozen dairy desserts,"Ice cream cone, soft serve, vanilla, waffle cone",13120786,Ice cream cone,13 Milk desserts and sauces,Dairy
2341056,5802,Ice cream and frozen dairy desserts,"Ice cream cone, soft serve, chocolate, waffle cone",13120788,Ice cream cone,13 Milk desserts and sauces,Dairy
2341057,5802,Ice cream and frozen dairy desserts,"Ice cream cone, vanilla, prepackaged",13120790,Ice cream cone,13 Milk desserts and sauces,Dairy
2341058,5802,Ice cream and frozen dairy desserts,"Ice cream cone, chocolate, prepackaged",13120792,Ice cream cone,13 Milk desserts and sauces,Dairy
2341061,5802,Ice cream and frozen dairy desserts,"Ice cream sundae, NFS",13121000,Ice cream sundae,13 Milk desserts and sauces,Dairy
2341062,5802,Ice cream and frozen dairy desserts,"Ice cream sundae, fruit topping",13121100,Ice cream sundae,13 Milk desserts and sauces,Dairy
2341063,5802,Ice cream and frozen dairy desserts,Banana split,13121120,Banana split,13 Milk desserts and sauces,Dairy
2341064,5802,Ice cream and frozen dairy desserts,"Ice cream sundae, hot fudge topping",13121300,Ice cream sundae,13 Milk desserts and sauces,Dairy
2341065,5802,Ice cream and frozen dairy desserts,"Ice cream sundae, caramel topping",13121400,Ice cream sundae,13 Milk desserts and sauces,Dairy
2341066,5802,Ice cream and frozen dairy desserts,"Ice cream, fried",13126000,Ice cream,13 Milk desserts and sauces,Dairy
2341067,5802,Ice cream and frozen dairy desserts,"Light ice cream, NFS",13130100,Light ice cream,13 Milk desserts and sauces,Dairy
2341068,5802,Ice cream and frozen dairy desserts,"Light ice cream, vanilla",13130300,Light ice cream,13 Milk desserts and sauces,Dairy
2341069,5802,Ice cream and frozen dairy desserts,"Light ice cream, chocolate",13130310,Light ice cream,13 Milk desserts and sauces,Dairy
2341070,5802,Ice cream and frozen dairy desserts,"Soft serve, blended with candy or cookies, from fast food",13130700,Soft serve,13 Milk desserts and sauces,Dairy
2341071,5802,Ice cream and frozen dairy desserts,"Light ice cream sandwich, vanilla",13135000,Light ice cream sandwich,13 Milk desserts and sauces,Dairy
2341072,5802,Ice cream and frozen dairy desserts,"Light ice cream sandwich, chocolate",13135010,Light ice cream sandwich,13 Milk desserts and sauces,Dairy
2341073,5802,Ice cream and frozen dairy desserts,"Light ice cream bar, vanilla",13140000,Light ice cream bar,13 Milk desserts and sauces,Dairy
2341074,5802,Ice cream and frozen dairy desserts,"Light ice cream bar, vanilla, chocolate coated",13140100,Light ice cream bar,13 Milk desserts and sauces,Dairy
