fdc_id,description,short_description,food_code,wweia_food_category,wweia_food_category_description
2340862,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",Chocolate milk,11513380,1204,"Flavored milk, reduced fat"
2340864,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",Chocolate milk,11513382,1204,"Flavored milk, reduced fat"
2340868,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",Chocolate milk,11513392,1204,"Flavored milk, reduced fat"
2340870,"Chocolate milk, made from syrup, NS as to type of milk",Chocolate milk,11513400,1204,"Flavored milk, reduced fat"
2340872,"Chocolate milk, made from syrup with reduced fat milk",Chocolate milk,11513550,1204,"Flavored milk, reduced fat"
2340877,"Chocolate milk, made from light syrup with reduced fat milk",Chocolate milk,11513802,1204,"Flavored milk, reduced fat"
2340883,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",Hot chocolate / Cocoa,11514120,1204,"Flavored milk, reduced fat"
2340889,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",Hot chocolate / Cocoa,11514330,1204,"Flavored milk, reduced fat"
2340893,"Strawberry milk, NFS",Strawberry milk,11519040,1204,"Flavored milk, reduced fat"
2340895,"Strawberry milk, reduced fat",Strawberry milk,11519105,1204,"Flavored milk, reduced fat"
2340900,"Milk, malted",Milk,11526000,1204,"Flavored milk, reduced fat"
2340850,"Chocolate milk, ready to drink, low fat",Chocolate milk,11511400,1206,"Flavored milk, lowfat"
2340851,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",Chocolate milk,11511550,1206,"Flavored milk, lowfat"
2340852,"Chocolate milk, ready to drink, low fat (Nesquik)",Chocolate milk,11511600,1206,"Flavored milk, lowfat"
2340853,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",Chocolate milk,11511700,1206,"Flavored milk, lowfat"
2340865,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",Chocolate milk,11513383,1206,"Flavored milk, lowfat"
2340873,"Chocolate milk, made from syrup with low fat milk",Chocolate milk,11513600,1206,"Flavored milk, lowfat"
2340878,"Chocolate milk, made from light syrup with low fat milk",Chocolate milk,11513803,1206,"Flavored milk, lowfat"
2340884,"Hot chocolate / Cocoa, made with dry mix and low fat milk",Hot chocolate / Cocoa,11514130,1206,"Flavored milk, lowfat"
2340890,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",Hot chocolate / Cocoa,11514340,1206,"Flavored milk, lowfat"
2340896,"Strawberry milk, low fat",Strawberry milk,11519200,1206,"Flavored milk, lowfat"
2340898,"Strawberry milk, reduced sugar",Strawberry milk,11519210,1206,"Flavored milk, lowfat"
2340901,Eggnog,Eggnog,11531000,1402,Milk shakes and other dairy drinks
2340902,"Milk shake, home recipe, chocolate",Milk shake,11541110,1402,Milk shakes and other dairy drinks
2340903,"Milk shake, home recipe, flavors other than chocolate",Milk shake,11541120,1402,Milk shakes and other dairy drinks
2340904,"Milk shake, home recipe, chocolate, light",Milk shake,11541130,1402,Milk shakes and other dairy drinks
2340905,"Milk shake, home recipe, flavors other than chocolate, light",Milk shake,11541135,1402,Milk shakes and other dairy drinks
2340906,Milk shake with malt,Milk shake with malt,11541400,1402,Milk shakes and other dairy drinks
2340907,"Milk shake, fast food, chocolate",Milk shake,11542100,1402,Milk shakes and other dairy drinks
2340908,"Milk shake, fast food, flavors other than chocolate",Milk shake,11542200,1402,Milk shakes and other dairy drinks
2340909,"Milk shake, bottled, chocolate",Milk shake,11543000,1402,Milk shakes and other dairy drinks
2340910,"Milk shake, bottled, flavors other than chocolate",Milk shake,11543010,1402,Milk shakes and other dairy drinks
2340916,Chocolate milk drink,Chocolate milk drink,11560000,1402,Milk shakes and other dairy drinks
2341059,"Ice cream soda, flavors other than chocolate",Ice cream soda,13120800,1402,Milk shakes and other dairy drinks
2341060,"Ice cream soda, chocolate",Ice cream soda,13120810,1402,Milk shakes and other dairy drinks
2340911,Licuado or Batido,Licuado or Batido,11551050,7220,Smoothies and grain drinks
2340912,"Fruit smoothie, NFS",Fruit smoothie,11553100,7220,Smoothies and grain drinks
2340913,"Fruit smoothie, with whole fruit and dairy",Fruit smoothie,11553110,7220,Smoothies and grain drinks
2340914,"Fruit smoothie, with whole fruit and dairy, added protein",Fruit smoothie,11553120,7220,Smoothies and grain drinks
2340915,"Fruit smoothie juice drink, with dairy",Fruit smoothie juice drink,11553130,7220,Smoothies and grain drinks
2344828,"Fruit smoothie, with whole fruit, no dairy",Fruit smoothie,64134015,7220,Smoothies and grain drinks
2344829,"Fruit smoothie, with whole fruit, no dairy, added protein",Fruit smoothie,64134020,7220,Smoothies and grain drinks
2344830,"Fruit smoothie, with whole fruit, non-dairy",Fruit smoothie,64134025,7220,Smoothies and grain drinks
2344831,"Fruit smoothie juice drink, no dairy",Fruit smoothie juice drink,64134030,7220,Smoothies and grain drinks
